,event_type,page,pb,pl,pr,pt,slug,tb,timestamp,tl,tr,tt,type,x,y
0,3.0,1,979.13,610,1292,481.13,feel-the-ocean-breeze,179,0.0,648,1256,114,SampleFixation,943.3063003404818,899.2196261678674
1,,1,979.13,610,1292,481.13,feel-the-ocean-breeze,179,0.0,648,1256,114,SampleGaze,947.3447143189355,902.1823494115935
2,3.0,1,979.13,610,1292,481.13,feel-the-ocean-breeze,179,33.52256524580298,648,1256,114,SampleFixation,943.4770367897321,891.8621024099967
3,,1,979.13,610,1292,481.13,feel-the-ocean-breeze,179,33.52256524580298,648,1256,114,SampleGaze,947.5633828995593,883.2674871364712
4,,1,979.13,610,1292,481.13,feel-the-ocean-breeze,179,67.00261195754865,648,1256,114,SampleGaze,950.6677201936802,911.8724259404797
5,3.0,1,979.13,610,1292,481.13,feel-the-ocean-breeze,179,67.00261195754865,648,1256,114,SampleFixation,945.6662376589418,902.7831472284844
6,3.0,1,979.13,610,1292,481.13,feel-the-ocean-breeze,179,101.36858364165528,648,1256,114,SampleFixation,946.9832105450816,895.7876378258132
7,,1,979.13,610,1292,481.13,feel-the-ocean-breeze,179,101.36858364165528,648,1256,114,SampleGaze,949.1667529879775,895.5881004201833
8,,1,979.13,610,1292,481.13,feel-the-ocean-breeze,179,135.31963307969272,648,1256,114,SampleGaze,982.0795668787733,914.5588108794852
9,,1,979.13,610,1292,481.13,feel-the-ocean-breeze,179,168.44083802565,648,1256,114,SampleGaze,997.1266221090865,900.7958658369278
10,3.0,1,979.13,610,1292,481.13,feel-the-ocean-breeze,179,168.44083802565,648,1256,114,SampleFixation,968.0867098323052,898.0555366623499
12,3.0,1,979.13,610,1292,481.13,feel-the-ocean-breeze,179,201.89302776678232,648,1256,114,SampleFixation,977.9412250348349,917.0321926682133
11,,1,979.13,610,1292,481.13,feel-the-ocean-breeze,179,201.89302776678232,648,1256,114,SampleGaze,999.339307147286,950.5929236519019
13,3.0,1,979.13,610,1292,481.13,feel-the-ocean-breeze,179,235.1066005625762,648,1256,114,SampleFixation,990.1255980226455,913.9797922000188
14,,1,979.13,610,1292,481.13,feel-the-ocean-breeze,179,235.1066005625762,648,1256,114,SampleGaze,1007.3102084114514,926.0704568985414
15,3.0,1,979.13,610,1292,481.13,feel-the-ocean-breeze,179,268.263726338977,648,1256,114,SampleFixation,994.2131315551476,911.0442665523954
16,,1,979.13,610,1292,481.13,feel-the-ocean-breeze,179,268.263726338977,648,1256,114,SampleGaze,1005.1963373614756,920.3916162030696
20,2.0,2,767.6800000000001,516,1388,131.68000000000006,feel-the-ocean-breeze,946,268.263726338977,630,1274,887,SampleFixation,1002.3881986201518,905.1732152571487
17,,2,767.6800000000001,516,1388,131.68000000000006,feel-the-ocean-breeze,946,301.5619696637732,630,1274,887,SampleGaze,996.7465415906208,851.247342567953
18,,2,767.6800000000001,516,1388,131.68000000000006,feel-the-ocean-breeze,946,336.5341969971778,630,1274,887,SampleGaze,959.3846560878765,567.638373144894
19,,2,767.6800000000001,516,1388,131.68000000000006,feel-the-ocean-breeze,946,370.91922871378483,630,1274,887,SampleGaze,957.7392128387808,560.2941859450208
22,1.0,2,767.6800000000001,516,1388,131.68000000000006,feel-the-ocean-breeze,946,370.91922871378483,630,1274,887,SampleFixation,954.204851925572,533.1230637163552
21,,2,767.6800000000001,516,1388,131.68000000000006,feel-the-ocean-breeze,946,403.106858606101,630,1274,887,SampleGaze,946.5883627797647,529.4421908950528
